"Backend","N","minT"
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 8 threads",10,1406.8
"CLContext: Hawaii",10,43930.0
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 8 threads",100,2774.4444444444443
"CLContext: Hawaii",100,44096.0
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 8 threads",1000,16007.0
"CLContext: Hawaii",1000,43215.0
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 8 threads",10000,150657.0
"CLContext: Hawaii",10000,43665.0
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 8 threads",100000,1.50104e6
"CLContext: Hawaii",100000,57141.0
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 8 threads",1000000,1.9751335e7
"CLContext: Hawaii",1000000,165117.0
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 8 threads",10000000,1.98091438e8
"CLContext: Hawaii",10000000,1.276919e6
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 1 threads",10,1262.9
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 1 threads",100,8463.333333333334
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 1 threads",1000,79679.0
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 1 threads",10000,791163.0
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 1 threads",100000,8.028366e6
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 1 threads",1000000,8.6506481e7
"JLContext Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz with 1 threads",10000000,8.77277669e8
"CLContext: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz",10,17357.0
"CLContext: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz",100,19228.0
"CLContext: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz",1000,37261.0
"CLContext: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz",10000,198403.0
"CLContext: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz",100000,1.878661e6
"CLContext: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz",1000000,2.1451888e7
"CLContext: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz",10000000,2.09276533e8
